Form ID,Process Area,Form Title,Source File,Document Reference,Issue / Revision Date,Document Owner,Station / Device,Form Family,Primary Trigger,Check Frequency,First Check Rule,Product / Grade Dependencies,Measurement / Entry Types,Calibration Required,Recheck Rule,HOLD / Stop Rule,Notification Roles,PLC / Tag Data Available,ERP / Order Data Available,Complexity,Pilot Priority,Migration Status,Business Owner,Technical Owner,Notes / Open Questions
F-001,Lathe,Lathe Outfeed Process Control Sheet,Lathe outfeed Process Conrol Sheet 27.02.2026.xlsx,05-20-39,27/02/2026,Quality and Compliance Coordinator,Lathe Outfeed tablet / PC,Dimensional / physical measurement,Scheduled,Hourly or less,Within 30 minutes of shift start,Grade; nominal thickness; Hi/LS/Sap veneer,Numeric; attribute; comments,Yes – thickness gauge,Recheck 2 more sheets,HOLD offending packs if control not achieved,QC; Team Leader; Shift Manager,TBD,TBD,High,1 – Foundation pilot,Discovery,TBD,Nguyen Trieu,At least one Hi and one LS pack per shift.
F-002,Dryer,Dryer Infeed Veneer Process Control Log,Dryer Infeed Process Control Log 9.12.2025.xlsx,05-20-06,09/12/2025,Quality and Compliance Coordinator,Dryer Infeed tablet / PC,Repeated load / batch log,Per load,Loads 1–16 / shift,TBD,Grade; nominal thickness,Numeric; date/time; selection,Yes – thickness gauge,Recheck 2 more sheets,Escalate if control not achieved,QC; Team Leader; Shift Manager,TBD,TBD,Medium,2,Discovery,TBD,Nguyen Trieu,Nominal versus actual thickness by load.
F-003,Layup,Layup Outfeed Process Control Sheet,Layup Outfeed Process Control Sheet 20.01.2026.xlsx,05-20-09,20/01/2026,Quality and Compliance Co-ordinator,Layup Outfeed tablet / PC,Time / duration tracking,Per pack / event,Per production event,TBD,Product,Time; calculated duration; comments,No,Record reason for delay,Escalate if maximum time difference exceeded,Hot-press Operator; QC; Team Leader; Supervisor; Shift Manager,Potential timestamps / machine states – assess,TBD,Medium,2 – Workflow pilot,Discovery,TBD,Nguyen Trieu,Maximum O.A.T. difference 2 minutes; action at 3 minutes or more.
F-004,Sanding,Sander Line Process Control Sheet,Sanding Line Process Control Sheet 28.11.2025.xlsx,05-20-13,07/02/2026,Quality and Compliance Co-ordinator,Sanding Line tablet / PC,Mixed inspection / scheduled compliance,Scheduled and per pack,Hourly; pack height 2-hourly,Within 30 minutes of shift start,Product thickness; CCFO variant; face thickness,Numeric; Yes/No; Good/Poor; calculated average; comments,Yes – vernier and moisture meter,Recheck 2 more sheets; then 30-minute checks until controlled,HOLD/isolate affected packs; stop processing if required,QC; Team Leader; Shift Manager; Fitters,TBD,TBD,Very High,3 – Complex pilot,Discovery,TBD,Nguyen Trieu,Uses product-dependent thickness tolerance table.
F-005,Composer,Composer Infeed Veneer Tracking,Composer Infeed Veneer Tracking - One - Two 28.11.2025.xlsx,,,,Composer Infeed tablet / PC,Repeated load / batch log,,,,,,,,,,TBD,TBD,,,Not assessed,,Nguyen Trieu,Source form to be reviewed.
F-006,Composer,Composer Outfeed Process Control,Composer Outfeed Process control Sheet 28.11.2025.xlsx,,,,Composer Outfeed tablet / PC,Dimensional / physical measurement,,,,,,,,,,TBD,TBD,,,Not assessed,,Nguyen Trieu,Source form to be reviewed.
F-007,Dryer,Dryer Outfeed Process Control,Drier Outfeed Process Control Sheet 27.02.2026.xlsx,,,,Dryer Outfeed tablet / PC,Dimensional / physical measurement,,,,,,,,,,TBD,TBD,,,Not assessed,,Nguyen Trieu,Source form to be reviewed.
F-008,Core Stacker,Core Stacker Production Sheet,Core stacker production sheet 10.12.2025.xlsx,,,,Core Stacker tablet / PC,Repeated load / batch log,,,,,,,,,,TBD,TBD,,,Not assessed,,Nguyen Trieu,Source form to be reviewed.
F-009,Trim Saws,Formply Trim Saws Process Control,Formply Trim Saws-Process Control Sheet 9.12.2025.xlsx,,,,Trim Saws tablet / PC,Dimensional / physical measurement,,,,,,,,,,TBD,TBD,,,Not assessed,,Nguyen Trieu,Source form to be reviewed.
F-010,Saw Doctor,Knife Grinding Log,Knife Grinding Log - Saw Doctor Sheet 6.04.2022.xlsx,,,,Saw Doctor PC,Equipment / tooling record,,,,,,,,,,TBD,TBD,,,Not assessed,,Nguyen Trieu,Source form to be reviewed.
F-011,Lathe,Knife Setup Log,Knife Setup Log - Lathe Sheet 10.12.2025.xlsx,,,,Lathe tablet / PC,Equipment / tooling record,,,,,,,,,,TBD,TBD,,,Not assessed,,Nguyen Trieu,Source form to be reviewed.
F-012,Layup,Layup Line Process Control,Layup Line Process Control Sheet 28.11.2025.pdf,,,,Layup Line tablet / PC,Mixed inspection,,,,,,,,,,TBD,TBD,,,Not assessed,,Nguyen Trieu,PDF source; confirm controlled version.
F-013,Peeler,Peeler Core Temperature Check,Peeler Core temperature check. 22.01.2026.xlsx,,,,Peeler tablet / PC,Temperature / scheduled check,,,,,,,,,,TBD,TBD,,,Not assessed,,Nguyen Trieu,Source form to be reviewed.
F-014,Steamer,Steamer Cart Time Sheet,Steamer Cart Time sheet 22.01.2026.xlsx,,,,Steamer tablet / PC,Time / duration tracking,,,,,,,,,,TBD,TBD,,,Not assessed,,Nguyen Trieu,Source form to be reviewed.
F-015,Trim Saws,Trim Saws Process Control,Trim Saws Process Control Sheet 28.11.2025.xlsx,,,,Trim Saws tablet / PC,Dimensional / physical measurement,,,,,,,,,,TBD,TBD,,,Not assessed,,Nguyen Trieu,Source form to be reviewed.
